ticket,open_time,close_time,symbol,direction,lots,entry_price,exit_price,stop_loss,take_profit,gross_pnl,commission,swap,net_pnl,pips,setup,emotion,execution_rating,mistakes,notes
10000143,2026-02-27 08:21:00,2026-02-27 08:56:25,GBPJPY,Buy,0.37,198.84,199.27,197.75,200.52,102.41,12.95,-0.29,,,Breaker Block,Revengeful,5,Early Exit; Oversized Position; Revenge Trade,Ignored the daily bias and took the counter-trend setup because the 5m looked pretty.
10000151,2026-02-27 14:46:00,2026-02-27 15:01:29,US500,Sell,0.15,5385.47,5319.71,5426.52,5296.97,98.64,5.25,-2.19,,,Liquidity Sweep,Neutral,4,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000156,2026-03-02 15:20:00,2026-03-02 16:13:27,XAUUSD,Buy,0.09,2348.89,2388.8,2327.3,2400.58,359.16,3.15,0.55,,,Liquidity Sweep,Confident,5,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000166,2026-03-03 10:43:00,2026-03-03 11:45:01,USDJPY,Sell,0.1,157.76,157.49,158.49,157.07,17.7,3.5,-0.52,,,Breaker Block,Frustrated,2,Early Exit,Moved the stop further away because I 'knew' it would come back. It did not.
10000173,2026-03-04 10:07:00,2026-03-04 10:53:35,XAUUSD,Sell,0.17,2334.14,2349.84,2349.88,2300.52,-266.98,5.95,0.03,,,BOS Continuation,Confident,4,,Small size because spread was wide before the news. Still respected the invalidation.
10000176,2026-03-05 16:15:00,2026-03-05 16:45:05,EURUSD,Sell,0.15,1.0706,1.06725,1.07498,1.0645,50.33,5.25,-3.71,,,Breaker Block,Revengeful,3,Revenge Trade,"Entered before the sweep completed. Impatient, price took my stop then went my way."
10000185,2026-03-05 10:15:00,2026-03-05 11:12:34,TASI,Buy,0.18,11801.85,11762.73,11760.75,11874.67,-35.21,6.3,0.03,,,BOS Continuation,Anxious,2,,"Chased the candle after it already ran 40 points. No structure, pure FOMO."
10000190,2026-03-05 14:07:00,2026-03-05 15:25:15,GBPJPY,Buy,0.1,198.36,200.07,197.41,200.34,111.08,3.5,0.63,,,Liquidity Sweep,Calm,3,,"Followed the plan exactly. No adjustment to stop, target hit while I was away from screen."
10000200,2026-03-06 07:04:00,2026-03-06 07:52:06,EURUSD,Buy,0.11,1.09324,1.08832,1.08945,1.09813,-54.12,3.85,-0.63,,,CHoCH Reversal,Revengeful,2,Moved Stop Loss; Revenge Trade,Traded through the news release without checking the calendar. Slipped badly.
10000204,2026-03-09 15:25:00,2026-03-09 17:16:25,XAUUSD,Buy,0.07,2350.87,2341.98,2341.51,2376.61,-62.21,2.45,0.44,,,BOS Continuation,Neutral,4,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000215,2026-03-09 15:23:00,2026-03-09 16:33:15,TASI,Sell,0.12,11931.07,11846.47,11984.53,11843.38,50.76,4.2,-0.27,,,BOS Continuation,Confident,5,Oversized Position,Moved the stop further away because I 'knew' it would come back. It did not.
10000222,2026-03-09 07:40:00,2026-03-09 10:29:16,USDJPY,Buy,0.12,157.46,158.91,156.69,159.58,112.46,4.2,-0.76,,,Breakout,Calm,4,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000225,2026-03-10 10:54:00,2026-03-10 11:05:05,GBPJPY,Buy,0.15,199.44,200.6,198.48,201.0,112.94,5.25,-0.15,,,Breakout,Neutral,3,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000233,2026-03-10 15:26:00,2026-03-10 16:32:35,GBPJPY,Buy,0.12,195.6,196.0,194.41,196.99,31.05,4.2,-0.36,,,FVG Fill,Frustrated,1,Early Exit,Ignored the daily bias and took the counter-trend setup because the 5m looked pretty.
10000240,2026-03-11 09:33:00,2026-03-11 11:22:29,US500,Sell,0.19,5380.44,5309.63,5417.9,5290.7,134.54,6.65,-0.42,,,Order Block,Patient,5,,Small size because spread was wide before the news. Still respected the invalidation.
10000246,2026-03-12 09:31:00,2026-03-12 12:01:53,USDJPY,Buy,0.14,157.05,157.74,156.58,158.35,63.02,4.9,-0.4,,,BOS Continuation,Neutral,4,Overtrading,Closed at +0.4R out of fear while the target was still 2R away. Price hit target later.
10000256,2026-03-12 15:57:00,2026-03-12 17:21:40,XAUUSD,Buy,0.1,2408.18,2390.1,2388.4,2436.7,-180.8,3.5,0.99,,,Breaker Block,Anxious,2,Overtrading,"Entered before the sweep completed. Impatient, price took my stop then went my way."
10000263,2026-03-12 08:42:00,2026-03-12 11:38:06,USDJPY,Sell,0.07,156.2,155.67,156.94,155.02,24.2,2.45,-0.12,,,Breaker Block,Anxious,2,Early Exit; Overtrading,"Fifth trade of the day, no setup, just boredom. Should have shut the platform."
10000271,2026-03-12 17:09:00,2026-03-12 17:16:45,XAUUSD,Buy,0.21,2302.56,2335.03,2289.06,2339.64,681.78,7.35,-3.99,,,Order Block,Calm,5,Overtrading,Traded through the news release without checking the calendar. Slipped badly.
10000277,2026-03-12 13:44:00,2026-03-12 14:17:11,XAUUSD,Sell,0.05,2332.2,2352.45,2347.41,2311.45,-101.27,1.75,0.43,,,Breaker Block,Frustrated,3,Moved Stop Loss; Overtrading,"Fifth trade of the day, no setup, just boredom. Should have shut the platform."
10000281,2026-03-13 14:14:00,2026-03-13 16:46:42,TASI,Sell,0.15,11671.42,11768.63,11746.04,11542.14,-72.91,5.25,-0.64,,,CHoCH Reversal,Anxious,2,Moved Stop Loss,"Chased the candle after it already ran 40 points. No structure, pure FOMO."
10000292,2026-03-16 11:45:00,2026-03-16 11:51:00,XAUUSD,Sell,0.25,2361.34,2380.52,2382.87,2330.22,-479.55,8.75,-5.69,,,Momentum,Confident,5,Oversized Position,Closed at +0.4R out of fear while the target was still 2R away. Price hit target later.
10000299,2026-03-16 07:48:00,2026-03-16 08:19:45,XAUUSD,Buy,0.34,2343.63,2333.88,2332.66,2357.54,-331.39,11.9,3.53,,,Order Block,Bored,3,No Setup / Impulse; Oversized Position,Closed at +0.4R out of fear while the target was still 2R away. Price hit target later.
10000306,2026-03-18 14:15:00,2026-03-18 14:43:59,EURUSD,Sell,0.18,1.04954,1.05657,1.0547,1.04465,-126.52,6.3,-2.09,,,Breakout,Frustrated,3,Moved Stop Loss; Oversized Position,"Chased the candle after it already ran 40 points. No structure, pure FOMO."
10000310,2026-03-18 16:25:00,2026-03-18 16:57:47,US500,Sell,0.32,5486.84,5517.04,5506.3,5469.87,-96.63,11.2,0.58,,,Momentum,Revengeful,2,Moved Stop Loss; Oversized Position; Revenge Trade,Traded through the news release without checking the calendar. Slipped badly.
10000320,2026-03-19 07:32:00,2026-03-19 08:33:28,GBPJPY,Sell,0.13,199.67,199.27,200.29,198.77,33.75,4.55,-1.25,,,Momentum,FOMO,3,Chased Price; Early Exit; Late Entry,Moved the stop further away because I 'knew' it would come back. It did not.
10000325,2026-03-19 09:19:00,2026-03-19 10:29:12,GBPJPY,Buy,0.16,195.0,195.48,194.3,195.84,50.04,5.6,-1.24,,,BOS Continuation,Neutral,4,Overtrading,Ignored the daily bias and took the counter-trend setup because the 5m looked pretty.
10000333,2026-03-19 15:15:00,2026-03-19 16:08:02,XAUUSD,Sell,0.21,2339.12,2323.78,2362.22,2307.5,322.13,7.35,-3.18,,,Momentum,Neutral,5,Early Exit; Overtrading,Ignored the daily bias and took the counter-trend setup because the 5m looked pretty.
10000339,2026-03-19 16:42:00,2026-03-19 19:36:48,US500,Sell,0.2,5417.91,5391.83,5446.91,5370.9,52.16,7.0,-1.36,,,Momentum,Patient,4,Overtrading,"Chased the candle after it already ran 40 points. No structure, pure FOMO."
10000344,2026-03-19 15:37:00,2026-03-19 18:16:51,TASI,Buy,0.18,11660.67,11580.05,11567.86,11912.68,-72.56,6.3,-2.37,,,Breakout,Confident,3,Overtrading,Moved the stop further away because I 'knew' it would come back. It did not.
10000352,2026-03-23 17:48:00,2026-03-23 18:07:04,USDJPY,Sell,0.13,156.86,155.95,157.78,155.3,77.28,4.55,-1.72,,,FVG Fill,Calm,4,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000358,2026-03-23 20:17:00,2026-03-23 20:49:25,XAUUSD,Sell,0.05,2405.61,2438.07,2427.87,2373.19,-162.29,1.75,0.04,,,FVG Fill,Greedy,2,Moved Stop Loss; Traded During News,Traded through the news release without checking the calendar. Slipped badly.
10000367,2026-03-23 08:19:00,2026-03-23 08:32:13,GBPJPY,Buy,0.19,195.53,196.33,194.72,196.63,98.32,6.65,0.9,,,Momentum,Confident,4,,"Followed the plan exactly. No adjustment to stop, target hit while I was away from screen."
10000373,2026-03-24 16:49:00,2026-03-24 17:03:31,EURUSD,Buy,0.2,1.08516,1.08803,1.08294,1.09065,57.27,7.0,-2.28,,,Breakout,Neutral,4,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000379,2026-03-24 10:40:00,2026-03-24 11:07:58,EURUSD,Sell,0.09,1.08224,1.07775,1.08673,1.07484,40.45,3.15,-0.83,,,Momentum,Revengeful,3,Revenge Trade,Closed at +0.4R out of fear while the target was still 2R away. Price hit target later.
10000389,2026-03-25 15:15:00,2026-03-25 16:19:36,XAUUSD,Sell,0.15,2362.32,2374.34,2376.1,2323.51,-180.3,5.25,-1.7,,,Order Block,Patient,4,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000395,2026-03-25 07:16:00,2026-03-25 09:29:21,US500,Buy,0.06,5477.34,5455.59,5455.34,5506.27,-13.05,2.1,-0.53,,,Order Block,Neutral,3,,Small size because spread was wide before the news. Still respected the invalidation.
10000401,2026-03-26 16:26:00,2026-03-26 16:46:35,XAUUSD,Buy,0.36,2307.27,2295.04,2292.93,2339.94,-440.05,12.6,5.86,,,Breakout,Neutral,4,Oversized Position,Ignored the daily bias and took the counter-trend setup because the 5m looked pretty.
10000411,2026-03-30 14:30:00,2026-03-30 14:44:37,USDJPY,Sell,0.21,154.7,155.0,155.05,154.3,-40.74,7.35,-4.92,,,Order Block,Revengeful,3,Oversized Position; Revenge Trade,Revenge entry within minutes of the previous loss. Doubled size to get it back. Stupid.
10000417,2026-03-31 09:06:00,2026-03-31 10:17:36,GBPJPY,Sell,0.34,197.43,198.75,198.24,195.99,-291.49,11.9,-0.65,,,FVG Fill,Bored,3,Moved Stop Loss; No Setup / Impulse; Oversized Position,Moved the stop further away because I 'knew' it would come back. It did not.
10000422,2026-03-31 16:01:00,2026-03-31 18:53:53,US500,Sell,0.15,5477.59,5450.19,5523.89,5394.31,41.09,5.25,-2.16,,,FVG Fill,Frustrated,2,Early Exit; Oversized Position,Traded through the news release without checking the calendar. Slipped badly.
10000432,2026-03-31 20:11:00,2026-03-31 22:07:21,TASI,Buy,0.11,11706.54,11754.75,11659.16,11788.09,26.51,3.85,-0.5,,,BOS Continuation,Confident,3,,Small size because spread was wide before the news. Still respected the invalidation.
10000435,2026-04-01 09:09:00,2026-04-01 09:45:28,GBPJPY,Buy,0.13,198.44,200.96,197.41,201.63,212.84,4.55,0.71,,,Liquidity Sweep,Confident,3,,Small size because spread was wide before the news. Still respected the invalidation.
10000446,2026-04-01 15:23:00,2026-04-01 17:19:22,TASI,Buy,0.07,11809.06,11980.22,11719.54,12093.56,59.91,2.45,-0.39,,,CHoCH Reversal,Neutral,4,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000452,2026-04-01 15:18:00,2026-04-01 17:13:34,GBPJPY,Sell,0.07,198.21,198.83,198.88,197.1,-28.38,2.45,-0.1,,,BOS Continuation,Bored,2,No Setup / Impulse,Revenge entry within minutes of the previous loss. Doubled size to get it back. Stupid.
10000458,2026-04-02 13:09:00,2026-04-02 13:50:32,XAUUSD,Sell,0.19,2354.86,2364.65,2366.07,2333.9,-186.06,6.65,-5.61,,,CHoCH Reversal,Patient,5,,Small size because spread was wide before the news. Still respected the invalidation.
10000463,2026-04-02 09:36:00,2026-04-02 10:47:00,GBPJPY,Sell,0.35,191.73,190.69,192.92,190.01,235.99,12.25,-2.29,,,Liquidity Sweep,Calm,4,Oversized Position,Revenge entry within minutes of the previous loss. Doubled size to get it back. Stupid.
10000473,2026-04-02 10:35:00,2026-04-02 11:12:30,XAUUSD,Buy,0.1,2314.85,2330.91,2306.38,2337.93,160.54,3.5,0.14,,,CHoCH Reversal,Calm,3,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000478,2026-04-03 10:39:00,2026-04-03 11:03:39,XAUUSD,Sell,0.22,2378.7,2365.5,2391.44,2352.9,290.43,7.7,-0.53,,,Momentum,Calm,5,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000486,2026-04-03 15:38:00,2026-04-03 17:48:58,XAUUSD,Buy,0.19,2349.02,2332.83,2331.92,2392.15,-307.63,6.65,4.81,,,Breakout,Patient,4,,Small size because spread was wide before the news. Still respected the invalidation.
10000492,2026-04-06 08:18:00,2026-04-06 09:11:31,XAUUSD,Buy,0.09,2368.36,2388.98,2356.31,2389.75,185.53,3.15,-0.6,,,Breaker Block,Neutral,2,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000502,2026-04-07 13:16:00,2026-04-07 14:41:02,GBPJPY,Buy,0.06,195.53,197.05,194.72,197.52,59.21,2.1,1.03,,,Liquidity Sweep,Calm,4,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000505,2026-04-07 08:44:00,2026-04-07 09:43:26,EURUSD,Sell,0.1,1.10499,1.10727,1.10751,1.10124,-22.79,3.5,0.63,,,Momentum,Neutral,4,,Small size because spread was wide before the news. Still respected the invalidation.
10000514,2026-04-07 14:36:00,2026-04-07 14:53:19,GBPJPY,Sell,0.16,192.33,190.95,193.23,189.78,143.83,5.6,0.15,,,Liquidity Sweep,Neutral,3,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000521,2026-04-09 09:55:00,2026-04-09 10:10:15,US500,Sell,0.14,5393.52,5341.71,5422.15,5316.38,72.53,4.9,0.11,,,FVG Fill,Patient,4,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000529,2026-04-13 09:30:00,2026-04-13 10:17:27,EURUSD,Buy,0.05,1.09549,1.10128,1.09108,1.10374,28.96,1.75,-0.27,,,FVG Fill,Calm,5,,"Higher timeframe bias was clear, only took the setup in line with the daily trend."
10000533,2026-04-13 09:26:00,2026-04-13 11:20:25,GBPJPY,Buy,0.09,195.6,194.64,194.5,199.02,-55.83,3.15,-0.33,,,Liquidity Sweep,Confident,4,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000542,2026-04-13 09:17:00,2026-04-13 09:26:27,XAUUSD,Sell,0.06,2323.65,2292.52,2343.43,2268.79,186.75,2.1,0.27,,,Breaker Block,Calm,4,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000547,2026-04-14 14:43:00,2026-04-14 15:52:32,EURUSD,Buy,0.18,1.08023,1.08278,1.077,1.08482,45.97,6.3,1.01,,,FVG Fill,Anxious,2,,Moved the stop further away because I 'knew' it would come back. It did not.
10000557,2026-04-15 08:08:00,2026-04-15 09:17:49,XAUUSD,Buy,0.17,2357.99,2384.35,2348.05,2389.68,448.13,5.95,-3.53,,,Breaker Block,Calm,4,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000562,2026-04-15 10:06:00,2026-04-15 11:36:14,US500,Buy,0.08,5556.26,5651.19,5517.38,5665.23,75.94,2.8,-0.02,,,Breaker Block,Confident,4,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000568,2026-04-15 16:53:00,2026-04-15 17:25:20,EURUSD,Sell,0.07,1.06569,1.0677,1.06794,1.06153,-14.06,2.45,-0.02,,,Breakout,Calm,4,,Small size because spread was wide before the news. Still respected the invalidation.
10000576,2026-04-16 13:48:00,2026-04-16 14:39:11,GBPJPY,Sell,0.07,195.06,193.44,196.3,193.01,73.73,2.45,-0.62,,,FVG Fill,Patient,5,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000585,2026-04-16 16:37:00,2026-04-16 16:58:26,US500,Sell,0.11,5481.26,5524.74,5525.91,5418.21,-47.83,3.85,0.17,,,Breakout,Frustrated,3,,"Chased the candle after it already ran 40 points. No structure, pure FOMO."
10000593,2026-04-16 08:07:00,2026-04-16 08:22:50,US500,Buy,0.11,5548.62,5523.96,5519.68,5575.89,-27.12,3.85,-0.27,,,FVG Fill,FOMO,3,Chased Price; Late Entry,Revenge entry within minutes of the previous loss. Doubled size to get it back. Stupid.
10000597,2026-04-17 09:21:00,2026-04-17 09:53:08,US500,Sell,0.09,5420.52,5377.63,5463.93,5361.1,38.6,3.15,1.14,,,CHoCH Reversal,FOMO,3,Chased Price; Late Entry; Oversized Position,"Chased the candle after it already ran 40 points. No structure, pure FOMO."
10000605,2026-04-21 09:00:00,2026-04-21 10:01:11,XAUUSD,Buy,0.19,2338.05,2317.97,2315.37,2399.71,-381.56,6.65,0.85,,,Momentum,Neutral,5,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000613,2026-04-23 13:02:00,2026-04-23 13:17:57,GBPJPY,Buy,0.09,198.94,200.3,198.29,200.88,79.49,3.15,-0.9,,,BOS Continuation,Calm,4,,Small size because spread was wide before the news. Still respected the invalidation.
10000617,2026-04-23 08:20:00,2026-04-23 09:20:23,TASI,Sell,0.15,11912.0,11685.11,11990.46,11682.56,170.17,5.25,-0.19,,,BOS Continuation,Calm,5,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000628,2026-04-23 14:42:00,2026-04-23 17:41:30,XAUUSD,Buy,0.14,2335.51,2346.88,2322.3,2354.32,159.21,4.9,0.84,,,Momentum,Neutral,4,,Small size because spread was wide before the news. Still respected the invalidation.
10000634,2026-04-27 08:01:00,2026-04-27 08:52:01,XAUUSD,Buy,0.16,2351.12,2366.32,2331.23,2377.71,243.27,5.6,-1.11,,,Breakout,Neutral,3,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000640,2026-04-28 07:38:00,2026-04-28 11:23:15,XAUUSD,Buy,0.17,2336.62,2370.58,2321.89,2376.88,577.3,5.95,0.63,,,FVG Fill,Calm,4,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000649,2026-04-28 16:46:00,2026-04-28 19:28:07,GBPJPY,Sell,0.16,197.02,195.66,197.95,195.33,141.92,5.6,-0.6,,,Breaker Block,Patient,5,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000652,2026-04-29 08:07:00,2026-04-29 08:35:28,XAUUSD,Buy,0.19,2382.2,2365.39,2364.25,2423.89,-319.37,6.65,0.82,,,BOS Continuation,Calm,5,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000662,2026-05-01 08:50:00,2026-05-01 10:07:59,EURUSD,Buy,0.09,1.06247,1.05685,1.05694,1.06809,-50.61,3.15,-0.83,,,CHoCH Reversal,Greedy,3,,"Entered before the sweep completed. Impatient, price took my stop then went my way."
10000669,2026-05-01 17:08:00,2026-05-01 18:19:17,EURUSD,Sell,0.29,1.07511,1.08241,1.07985,1.06929,-211.73,10.15,-3.4,,,BOS Continuation,Frustrated,2,Moved Stop Loss; Oversized Position,"Entered before the sweep completed. Impatient, price took my stop then went my way."
10000676,2026-05-01 07:31:00,2026-05-01 09:09:47,GBPJPY,Buy,0.11,197.86,198.54,196.64,199.6,48.75,3.85,0.74,,,BOS Continuation,Anxious,3,Early Exit; Oversized Position,Traded through the news release without checking the calendar. Slipped badly.
10000684,2026-05-05 13:08:00,2026-05-05 13:45:17,EURUSD,Sell,0.14,1.08608,1.08351,1.0889,1.08204,35.95,4.9,2.45,,,Order Block,Patient,4,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000687,2026-05-06 09:50:00,2026-05-06 10:53:25,US500,Buy,0.06,5471.1,5440.84,5441.3,5548.27,-18.15,2.1,0.21,,,BOS Continuation,Neutral,5,Overtrading,Closed at +0.4R out of fear while the target was still 2R away. Price hit target later.
10000694,2026-05-06 07:25:00,2026-05-06 08:35:53,GBPJPY,Buy,0.15,195.5,194.81,194.76,197.44,-68.14,5.25,0.86,,,Liquidity Sweep,Patient,5,Overtrading,Moved the stop further away because I 'knew' it would come back. It did not.
10000705,2026-05-06 11:50:00,2026-05-06 12:28:57,US500,Buy,0.34,5463.81,5503.13,5441.95,5509.09,133.68,11.9,-2.83,,,Liquidity Sweep,Confident,4,Oversized Position; Overtrading,Revenge entry within minutes of the previous loss. Doubled size to get it back. Stupid.
10000712,2026-05-06 09:38:00,2026-05-06 11:52:38,XAUUSD,Buy,0.08,2319.24,2339.31,2307.12,2357.26,160.59,2.8,-0.47,,,CHoCH Reversal,Patient,4,Overtrading,Ignored the daily bias and took the counter-trend setup because the 5m looked pretty.
10000716,2026-05-06 16:16:00,2026-05-06 17:02:42,GBPJPY,Buy,0.18,192.55,193.27,191.6,193.92,84.11,6.3,0.53,,,Momentum,Greedy,1,Overtrading,"Chased the candle after it already ran 40 points. No structure, pure FOMO."
10000722,2026-05-08 13:51:00,2026-05-08 14:42:06,GBPJPY,Buy,0.16,197.81,196.96,196.95,199.22,-88.46,5.6,-1.19,,,FVG Fill,Calm,4,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000729,2026-05-11 16:36:00,2026-05-11 18:10:41,EURUSD,Sell,0.2,1.06254,1.06622,1.0667,1.05627,-73.62,7.0,-0.64,,,Momentum,Confident,4,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000740,2026-05-11 11:19:00,2026-05-11 12:28:35,EURUSD,Buy,0.22,1.10728,1.09854,1.10172,1.11184,-192.42,7.7,-2.79,,,FVG Fill,Revengeful,3,Moved Stop Loss; Oversized Position; Revenge Trade,Revenge entry within minutes of the previous loss. Doubled size to get it back. Stupid.
10000745,2026-05-12 22:36:00,2026-05-12 23:41:07,USDJPY,Sell,0.24,159.63,157.5,160.44,157.38,332.02,8.4,-0.88,,,Liquidity Sweep,Calm,2,Oversized Position,Moved the stop further away because I 'knew' it would come back. It did not.
10000754,2026-05-12 15:16:00,2026-05-12 17:20:19,GBPJPY,Buy,0.2,193.62,193.89,193.03,194.1,35.45,7.0,4.6,,,Breakout,Bored,1,No Setup / Impulse,"Fifth trade of the day, no setup, just boredom. Should have shut the platform."
